service_id,provider_id,service_name,category,price,rating,review_count
39,45,Service 39,Cleaning Services,3794,4.790013558791856,24
40,2,Service 40,Beauty & Salon,1609,4.690560232445641,70
41,27,Service 41,Pest Control,4766,4.52130066741357,51
42,31,Service 42,Electrical,3390,4.086705211862183,3
43,36,Service 43,Gardening,4691,4.95817079300393,58
44,36,Service 44,Plumbing,1755,4.758392413945682,71
45,26,Service 45,Home Appliances,1004,4.638949385334262,19
46,43,Service 46,Plumbing,1479,4.7590358455388495,62
47,27,Service 47,Beauty & Salon,3777,4.724103329273139,53
48,5,Service 48,Cleaning Services,3101,4.6372315797894865,73
49,20,Service 49,Pest Control,1587,4.980576800179988,56
50,11,Service 50,Cleaning Services,4888,4.903363812636025,40
51,10,Service 51,Home Appliances,2961,4.646664919117163,2
52,40,Service 52,Cleaning Services,2879,4.693175211456925,5
53,38,Service 53,Cleaning Services,2306,4.05159580665871,4
54,6,Service 54,Home Appliances,4423,4.669917464550039,4
55,8,Service 55,Gardening,2968,4.044165437710101,53
56,23,Service 56,Gardening,4153,4.588263756969931,46
57,47,Service 57,Home Appliances,3386,4.999353499565835,48
58,26,Service 58,Pest Control,3480,4.55580658143718,8
59,46,Service 59,Beauty & Salon,2773,4.473210118081333,19
60,43,Service 60,Cleaning Services,4816,4.312854856505588,60
61,12,Service 61,Pest Control,2799,4.120522578786464,34
62,26,Service 62,Cleaning Services,4233,4.731023671458281,49
63,13,Service 63,Beauty & Salon,436,4.19259902778563,61
64,40,Service 64,Gardening,1504,4.1152820212472845,16
65,18,Service 65,Pest Control,3630,4.421762659730512,2
66,25,Service 66,Electrical,1501,4.795341837959097,31
67,33,Service 67,Electrical,2741,4.7450645481202205,12
68,47,Service 68,Electrical,2251,4.054882614646475,72
69,40,Service 69,Gardening,641,4.455143685036156,67
70,43,Service 70,Gardening,2276,4.522434576071169,13
71,12,Service 71,Beauty & Salon,3380,4.644546650625822,10
72,44,Service 72,Cleaning Services,2857,4.650167350443228,55
73,36,Service 73,Beauty & Salon,3998,4.364697249457306,66
74,48,Service 74,Beauty & Salon,1004,4.560677194003514,28
75,4,Service 75,Gardening,274,4.481061883844086,8
76,5,Service 76,Electrical,2375,4.8849983565232815,66
77,37,Service 77,Plumbing,4124,4.5302651326349,24
78,8,Service 78,Cleaning Services,2289,4.441032161748161,75
79,42,Service 79,Gardening,240,4.404485449681851,41
80,49,Service 80,Electrical,2281,4.572427759433466,8
81,28,Service 81,Pest Control,4883,4.803976979400898,78
82,31,Service 82,Plumbing,1822,4.538401490380788,39
83,9,Service 83,Plumbing,541,4.661655175080542,24
84,29,Service 84,Gardening,4252,4.737855766906525,4
85,14,Service 85,Home Appliances,2274,4.520168109878732,10
86,40,Service 86,Cleaning Services,845,4.426817056654865,58
87,41,Service 87,Plumbing,4463,4.87666537786245,78
88,22,Service 88,Gardening,809,4.417506084027892,37
89,11,Service 89,Gardening,654,4.461942850575587,71
90,23,Service 90,Electrical,3153,4.990341313341777,4
91,1,Service 91,Pest Control,1908,4.000237523575884,47
92,46,Service 92,Home Appliances,3672,4.185472909576722,17
93,37,Service 93,Cleaning Services,3169,4.383963889919726,69
94,21,Service 94,Beauty & Salon,3228,4.9325899094252526,36
95,26,Service 95,Pest Control,4997,4.070029705747471,59
96,46,Service 96,Pest Control,2881,4.009485433628498,47
97,36,Service 97,Electrical,3829,4.052683835977229,76
98,23,Service 98,Plumbing,4425,4.088543410613618,27
99,1,Service 99,Plumbing,3267,4.0375967732062605,68
100,40,Service 100,Electrical,1586,4.4797813268565045,76
